Date,Neighborhood,Total Positives
6/20/20,N51: WOODRIDGE,88
6/20/20,N25: HILL EAST,85
6/20/20,N49: WASHINGTON HIGHLANDS,84
6/20/20,N10: CATHEDRAL HEIGHTS,70
6/20/20,N50: WOODLEY PARK,60
6/20/20,N9: CAPITOL HILL,59
6/20/20,N19: FOREST HILLS,58
6/20/20,N24: GWU,56
6/20/20,N11: CHEVY CHASE,47
6/20/20,N3: BARNABY WOODS,38
6/20/20,N15: DC MEDICAL CENTER,22
6/20/20,N22: GEORGETOWN,18
6/20/20,N36: NAVAL STATION & AIR FORCE,4
6/21/20,N13: COLUMBIA HEIGHTS,666
6/21/20,N1: 16th ST HEIGHTS,601
6/21/20,N7: BRIGHTWOOD,472
6/21/20,N12: CHINATOWN,352
6/21/20,N37: NAYLOR/HILLCREST,347
6/21/20,N38: PETWORTH,343
6/21/20,N8: BRIGHTWOOD PARK,333
6/21/20,N45: TRINIDAD,306
6/21/20,N30: LINCOLN HEIGHTS,302
6/21/20,N31: LOGAN CIRCLE/SHAW,297
6/21/20,N33: MICHIGAN PARK,294
6/21/20,N34: MOUNT PLEASANT,284
6/21/20,N32: MARSHALL HEIGHTS,262
6/21/20,N14: CONGRESS HEIGHTS/SHIPLEY,255
6/21/20,N21: FORT LINCOLN/GATEWAY,240
6/21/20,N20: FORT DUPONT,236
6/21/20,N29: LAMOND RIGGS,217
6/21/20,N39: SAINT ELIZABETHS,211
6/21/20,N42: STADIUM ARMORY,210
6/21/20,N46: TWINING,207
6/21/20,N26: HISTORIC ANACOSTIA,206
6/21/20,N4: BELLEVUE,197
6/21/20,N18: EDGEWOOD,197
6/21/20,N17: EASTLAND GARDENS,196
6/21/20,N47: U ST/PLEASANT,187
6/21/20,N41: SOUTH COLUMBIA HEIGHTS,179
6/21/20,N43: SW/WATERFRONT,177
6/21/20,N16: DOUGLASS,176
6/21/20,N40: SHEPHERD PARK,172
6/21/20,Unknown,167
6/21/20,N6: BRENTWOOD,161
6/21/20,N2: ADAMS MORGAN,159
6/21/20,N48: UNION STATION,147
6/21/20,N44: TENLEYTOWN,134
6/21/20,N5: BLOOMINGDALE,132
6/21/20,N23: GEORGETOWN EAST,120
6/21/20,N28: KINGMAN PARK,114
6/21/20,N27: KENT/PALISADES,110
6/21/20,N51: WOODRIDGE,88
6/21/20,N25: HILL EAST,86
6/21/20,N49: WASHINGTON HIGHLANDS,84
6/21/20,N10: CATHEDRAL HEIGHTS,71
6/21/20,N50: WOODLEY PARK,61
6/21/20,N9: CAPITOL HILL,59
6/21/20,N19: FOREST HILLS,58
6/21/20,N24: GWU,56
6/21/20,N11: CHEVY CHASE,47
6/21/20,N3: BARNABY WOODS,38
6/21/20,N15: DC MEDICAL CENTER,22
6/21/20,N22: GEORGETOWN,18
6/21/20,N36: NAVAL STATION & AIR FORCE,4
6/22/20,N13: COLUMBIA HEIGHTS,671
6/22/20,N1: 16th ST HEIGHTS,604
6/22/20,N7: BRIGHTWOOD,475
6/22/20,N12: CHINATOWN,353
6/22/20,N37: NAYLOR/HILLCREST,349
6/22/20,N38: PETWORTH,346
6/22/20,N8: BRIGHTWOOD PARK,334
6/22/20,N45: TRINIDAD,306
6/22/20,N30: LINCOLN HEIGHTS,303
6/22/20,N31: LOGAN CIRCLE/SHAW,298
6/22/20,N33: MICHIGAN PARK,295
6/22/20,N34: MOUNT PLEASANT,284
6/22/20,N32: MARSHALL HEIGHTS,262
6/22/20,N14: CONGRESS HEIGHTS/SHIPLEY,255
6/22/20,N21: FORT LINCOLN/GATEWAY,241
6/22/20,N20: FORT DUPONT,237
6/22/20,N29: LAMOND RIGGS,217
6/22/20,N42: STADIUM ARMORY,212
6/22/20,N39: SAINT ELIZABETHS,211
6/22/20,N46: TWINING,208
6/22/20,N26: HISTORIC ANACOSTIA,207
6/22/20,N4: BELLEVUE,197
6/22/20,N18: EDGEWOOD,197
6/22/20,N17: EASTLAND GARDENS,196
6/22/20,N47: U ST/PLEASANT,188
6/22/20,N41: SOUTH COLUMBIA HEIGHTS,179
6/22/20,N16: DOUGLASS,178
6/22/20,N43: SW/WATERFRONT,177
6/22/20,N40: SHEPHERD PARK,172
6/22/20,Unknown,167
6/22/20,N6: BRENTWOOD,162
6/22/20,N2: ADAMS MORGAN,159
6/22/20,N48: UNION STATION,147
6/22/20,N44: TENLEYTOWN,135
6/22/20,N5: BLOOMINGDALE,132
6/22/20,N23: GEORGETOWN EAST,120
6/22/20,N28: KINGMAN PARK,114
6/22/20,N27: KENT/PALISADES,111
6/22/20,N51: WOODRIDGE,89
6/22/20,N25: HILL EAST,86
6/22/20,N49: WASHINGTON HIGHLANDS,84
6/22/20,N10: CATHEDRAL HEIGHTS,71
6/22/20,N9: CAPITOL HILL,61
6/22/20,N50: WOODLEY PARK,61
6/22/20,N19: FOREST HILLS,58
6/22/20,N24: GWU,56
6/22/20,N11: CHEVY CHASE,47
6/22/20,N3: BARNABY WOODS,38
6/22/20,N15: DC MEDICAL CENTER,22
6/22/20,N22: GEORGETOWN,18
6/22/20,N36: NAVAL STATION & AIR FORCE,4
6/23/20,N13: COLUMBIA HEIGHTS,673
6/23/20,N1: 16th ST HEIGHTS,607
6/23/20,N7: BRIGHTWOOD,476
6/23/20,N12: CHINATOWN,356
6/23/20,N37: NAYLOR/HILLCREST,350
6/23/20,N38: PETWORTH,346
6/23/20,N8: BRIGHTWOOD PARK,334
6/23/20,N45: TRINIDAD,306
6/23/20,N30: LINCOLN HEIGHTS,305
6/23/20,N33: MICHIGAN PARK,298
6/23/20,N31: LOGAN CIRCLE/SHAW,298
6/23/20,N34: MOUNT PLEASANT,286
6/23/20,N32: MARSHALL HEIGHTS,262
6/23/20,N14: CONGRESS HEIGHTS/SHIPLEY,255
6/23/20,N21: FORT LINCOLN/GATEWAY,241
6/23/20,N20: FORT DUPONT,239
6/23/20,N29: LAMOND RIGGS,218
6/23/20,N42: STADIUM ARMORY,212
6/23/20,N39: SAINT ELIZABETHS,212
6/23/20,N46: TWINING,209
6/23/20,N26: HISTORIC ANACOSTIA,207
6/23/20,N4: BELLEVUE,198
6/23/20,N18: EDGEWOOD,198
6/23/20,N17: EASTLAND GARDENS,198
6/23/20,N47: U ST/PLEASANT,189
6/23/20,N41: SOUTH COLUMBIA HEIGHTS,180
6/23/20,N43: SW/WATERFRONT,179
6/23/20,N16: DOUGLASS,179
6/23/20,N40: SHEPHERD PARK,172
6/23/20,Unknown,167
6/23/20,N6: BRENTWOOD,163
6/23/20,N2: ADAMS MORGAN,159
6/23/20,N48: UNION STATION,148
6/23/20,N44: TENLEYTOWN,135
6/23/20,N5: BLOOMINGDALE,132
6/23/20,N23: GEORGETOWN EAST,120
6/23/20,N28: KINGMAN PARK,114
6/23/20,N27: KENT/PALISADES,111
6/23/20,N51: WOODRIDGE,89
6/23/20,N25: HILL EAST,86
6/23/20,N49: WASHINGTON HIGHLANDS,84
6/23/20,N10: CATHEDRAL HEIGHTS,71
6/23/20,N9: CAPITOL HILL,61
6/23/20,N50: WOODLEY PARK,61
6/23/20,N19: FOREST HILLS,58
6/23/20,N24: GWU,57
6/23/20,N11: CHEVY CHASE,47
6/23/20,N3: BARNABY WOODS,38
6/23/20,N15: DC MEDICAL CENTER,22
6/23/20,N22: GEORGETOWN,18
6/23/20,N36: NAVAL STATION & AIR FORCE,4
6/24/20,N13: COLUMBIA HEIGHTS,673
6/24/20,N1: 16th ST HEIGHTS,610
6/24/20,N7: BRIGHTWOOD,476
6/24/20,N12: CHINATOWN,359
6/24/20,N37: NAYLOR/HILLCREST,351
6/24/20,N38: PETWORTH,346
6/24/20,N8: BRIGHTWOOD PARK,335
6/24/20,N45: TRINIDAD,306
6/24/20,N30: LINCOLN HEIGHTS,305
6/24/20,N33: MICHIGAN PARK,299
6/24/20,N31: LOGAN CIRCLE/SHAW,299
6/24/20,N34: MOUNT PLEASANT,287
6/24/20,N32: MARSHALL HEIGHTS,263
6/24/20,N14: CONGRESS HEIGHTS/SHIPLEY,255
6/24/20,N21: FORT LINCOLN/GATEWAY,241
6/24/20,N20: FORT DUPONT,239
6/24/20,N29: LAMOND RIGGS,218
6/24/20,N39: SAINT ELIZABETHS,213
6/24/20,N46: TWINING,212
6/24/20,N42: STADIUM ARMORY,212
6/24/20,N26: HISTORIC ANACOSTIA,208
6/24/20,N17: EASTLAND GARDENS,199
6/24/20,N4: BELLEVUE,198
6/24/20,N18: EDGEWOOD,198
6/24/20,N47: U ST/PLEASANT,190
6/24/20,N43: SW/WATERFRONT,181
6/24/20,N41: SOUTH COLUMBIA HEIGHTS,180
6/24/20,N16: DOUGLASS,179
6/24/20,N40: SHEPHERD PARK,173
6/24/20,Unknown,167
6/24/20,N6: BRENTWOOD,163
6/24/20,N2: ADAMS MORGAN,159
6/24/20,N48: UNION STATION,149
6/24/20,N44: TENLEYTOWN,135
6/24/20,N5: BLOOMINGDALE,133
6/24/20,N23: GEORGETOWN EAST,122
6/24/20,N28: KINGMAN PARK,114
6/24/20,N27: KENT/PALISADES,111
6/24/20,N51: WOODRIDGE,89
6/24/20,N25: HILL EAST,86
6/24/20,N49: WASHINGTON HIGHLANDS,84
6/24/20,N10: CATHEDRAL HEIGHTS,72
6/24/20,N9: CAPITOL HILL,63
6/24/20,N50: WOODLEY PARK,61
6/24/20,N24: GWU,58
6/24/20,N19: FOREST HILLS,58
6/24/20,N11: CHEVY CHASE,47
6/24/20,N3: BARNABY WOODS,39
6/24/20,N15: DC MEDICAL CENTER,22
6/24/20,N22: GEORGETOWN,18
6/24/20,N36: NAVAL STATION & AIR FORCE,4
6/25/20,N13: COLUMBIA HEIGHTS,677
6/25/20,N1: 16th ST HEIGHTS,612
6/25/20,N7: BRIGHTWOOD,478
6/25/20,N12: CHINATOWN,360
6/25/20,N37: NAYLOR/HILLCREST,352
6/25/20,N38: PETWORTH,346
6/25/20,N8: BRIGHTWOOD PARK,334
6/25/20,N45: TRINIDAD,307
6/25/20,N30: LINCOLN HEIGHTS,305
6/25/20,N31: LOGAN CIRCLE/SHAW,302
6/25/20,N33: MICHIGAN PARK,300
6/25/20,N34: MOUNT PLEASANT,287
6/25/20,N32: MARSHALL HEIGHTS,263
6/25/20,N14: CONGRESS HEIGHTS/SHIPLEY,255
6/25/20,N21: FORT LINCOLN/GATEWAY,241
6/25/20,N20: FORT DUPONT,240
6/25/20,N29: LAMOND RIGGS,218
6/25/20,N39: SAINT ELIZABETHS,213
6/25/20,N46: TWINING,212
6/25/20,N42: STADIUM ARMORY,212
6/25/20,N26: HISTORIC ANACOSTIA,208
6/25/20,N4: BELLEVUE,199
6/25/20,N17: EASTLAND GARDENS,199
6/25/20,N18: EDGEWOOD,198
6/25/20,N47: U ST/PLEASANT,190
6/25/20,N43: SW/WATERFRONT,182
6/25/20,N41: SOUTH COLUMBIA HEIGHTS,182
6/25/20,N16: DOUGLASS,181
6/25/20,N40: SHEPHERD PARK,173
6/25/20,Unknown,168
6/25/20,N6: BRENTWOOD,164
6/25/20,N2: ADAMS MORGAN,160
6/25/20,N48: UNION STATION,149
6/25/20,N44: TENLEYTOWN,135
6/25/20,N5: BLOOMINGDALE,133
6/25/20,N23: GEORGETOWN EAST,121
6/25/20,N28: KINGMAN PARK,116
6/25/20,N27: KENT/PALISADES,111
6/25/20,N51: WOODRIDGE,89
6/25/20,N25: HILL EAST,86
6/25/20,N49: WASHINGTON HIGHLANDS,84
6/25/20,N10: CATHEDRAL HEIGHTS,71
6/25/20,N9: CAPITOL HILL,63
6/25/20,N50: WOODLEY PARK,62
6/25/20,N24: GWU,59
6/25/20,N19: FOREST HILLS,58
6/25/20,N11: CHEVY CHASE,47
6/25/20,N3: BARNABY WOODS,39
6/25/20,N15: DC MEDICAL CENTER,22
6/25/20,N22: GEORGETOWN,18
6/25/20,N36: NAVAL STATION & AIR FORCE,4
6/26/20,N13: COLUMBIA HEIGHTS,678
6/26/20,N1: 16th ST HEIGHTS,614
6/26/20,N7: BRIGHTWOOD,478
6/26/20,N12: CHINATOWN,360
6/26/20,N37: NAYLOR/HILLCREST,352
6/26/20,N38: PETWORTH,348
6/26/20,N8: BRIGHTWOOD PARK,337
6/26/20,N45: TRINIDAD,307
6/26/20,N30: LINCOLN HEIGHTS,306
6/26/20,N31: LOGAN CIRCLE/SHAW,303
6/26/20,N33: MICHIGAN PARK,302
6/26/20,N34: MOUNT PLEASANT,288
6/26/20,N32: MARSHALL HEIGHTS,263
6/26/20,N14: CONGRESS HEIGHTS/SHIPLEY,255
6/26/20,N21: FORT LINCOLN/GATEWAY,242
6/26/20,N20: FORT DUPONT,240
6/26/20,N29: LAMOND RIGGS,218
6/26/20,N46: TWINING,213
6/26/20,N39: SAINT ELIZABETHS,213
6/26/20,N42: STADIUM ARMORY,212
6/26/20,N26: HISTORIC ANACOSTIA,208
6/26/20,N4: BELLEVUE,199
6/26/20,N18: EDGEWOOD,199
6/26/20,N17: EASTLAND GARDENS,199
6/26/20,N47: U ST/PLEASANT,190
6/26/20,N43: SW/WATERFRONT,184
6/26/20,N41: SOUTH COLUMBIA HEIGHTS,182
6/26/20,N16: DOUGLASS,181
6/26/20,N40: SHEPHERD PARK,173
6/26/20,Unknown,165
6/26/20,N6: BRENTWOOD,165
6/26/20,N2: ADAMS MORGAN,162
6/26/20,N48: UNION STATION,152
6/26/20,N5: BLOOMINGDALE,136
6/26/20,N44: TENLEYTOWN,135
6/26/20,N23: GEORGETOWN EAST,122
6/26/20,N28: KINGMAN PARK,117
6/26/20,N27: KENT/PALISADES,111
6/26/20,N51: WOODRIDGE,89
6/26/20,N25: HILL EAST,88
6/26/20,N49: WASHINGTON HIGHLANDS,84
6/26/20,N10: CATHEDRAL HEIGHTS,71
6/26/20,N9: CAPITOL HILL,63
6/26/20,N50: WOODLEY PARK,62
6/26/20,N24: GWU,59
6/26/20,N19: FOREST HILLS,58
6/26/20,N11: CHEVY CHASE,49
6/26/20,N3: BARNABY WOODS,39
6/26/20,N15: DC MEDICAL CENTER,22
6/26/20,N22: GEORGETOWN,18
6/26/20,N36: NAVAL STATION & AIR FORCE,4
6/26/20,N35: NATIONAL MALL,1
6/27/20,N13: COLUMBIA HEIGHTS,678
6/27/20,N1: 16th ST HEIGHTS,617
6/27/20,N7: BRIGHTWOOD,478
6/27/20,N12: CHINATOWN,362
6/27/20,N37: NAYLOR/HILLCREST,352
6/27/20,N38: PETWORTH,349
6/27/20,N8: BRIGHTWOOD PARK,338
6/27/20,N30: LINCOLN HEIGHTS,308
6/27/20,N45: TRINIDAD,307
6/27/20,N31: LOGAN CIRCLE/SHAW,305
6/27/20,N33: MICHIGAN PARK,303
6/27/20,N34: MOUNT PLEASANT,288
6/27/20,N32: MARSHALL HEIGHTS,263
6/27/20,N14: CONGRESS HEIGHTS/SHIPLEY,255
6/27/20,N21: FORT LINCOLN/GATEWAY,244
6/27/20,N20: FORT DUPONT,241
6/27/20,N29: LAMOND RIGGS,218
6/27/20,N46: TWINING,215
6/27/20,N39: SAINT ELIZABETHS,213
6/27/20,N42: STADIUM ARMORY,212
6/27/20,N26: HISTORIC ANACOSTIA,208
6/27/20,N4: BELLEVUE,200
6/27/20,N18: EDGEWOOD,200
6/27/20,N17: EASTLAND GARDENS,199
6/27/20,N47: U ST/PLEASANT,191
6/27/20,N43: SW/WATERFRONT,184
6/27/20,N41: SOUTH COLUMBIA HEIGHTS,182
6/27/20,N16: DOUGLASS,181
6/27/20,N40: SHEPHERD PARK,173
6/27/20,Unknown,165
6/27/20,N6: BRENTWOOD,165
6/27/20,N2: ADAMS MORGAN,163
6/27/20,N48: UNION STATION,153
6/27/20,N5: BLOOMINGDALE,137
6/27/20,N44: TENLEYTOWN,135
6/27/20,N23: GEORGETOWN EAST,122
6/27/20,N28: KINGMAN PARK,118
6/27/20,N27: KENT/PALISADES,111
6/27/20,N51: WOODRIDGE,89
6/27/20,N25: HILL EAST,89
6/27/20,N49: WASHINGTON HIGHLANDS,84
6/27/20,N10: CATHEDRAL HEIGHTS,71
6/27/20,N9: CAPITOL HILL,63
6/27/20,N50: WOODLEY PARK,62
6/27/20,N19: FOREST HILLS,61
6/27/20,N24: GWU,59
6/27/20,N11: CHEVY CHASE,51
6/27/20,N3: BARNABY WOODS,39
6/27/20,N15: DC MEDICAL CENTER,22
6/27/20,N22: GEORGETOWN,20
6/27/20,N36: NAVAL STATION & AIR FORCE,4
6/27/20,N35: NATIONAL MALL,1
6/28/20,N13: COLUMBIA HEIGHTS,682
6/28/20,N1: 16th ST HEIGHTS,620
6/28/20,N7: BRIGHTWOOD,478
6/28/20,N12: CHINATOWN,361
6/28/20,N37: NAYLOR/HILLCREST,354
6/28/20,N38: PETWORTH,351
6/28/20,N8: BRIGHTWOOD PARK,340
6/28/20,N30: LINCOLN HEIGHTS,311
6/28/20,N45: TRINIDAD,307
6/28/20,N31: LOGAN CIRCLE/SHAW,305
6/28/20,N33: MICHIGAN PARK,303
6/28/20,N34: MOUNT PLEASANT,288
6/28/20,N32: MARSHALL HEIGHTS,264
6/28/20,N14: CONGRESS HEIGHTS/SHIPLEY,256
6/28/20,N21: FORT LINCOLN/GATEWAY,245
6/28/20,N20: FORT DUPONT,241
6/28/20,N29: LAMOND RIGGS,218
6/28/20,N46: TWINING,216
6/28/20,N39: SAINT ELIZABETHS,213
6/28/20,N42: STADIUM ARMORY,212
6/28/20,N26: HISTORIC ANACOSTIA,210
6/28/20,N4: BELLEVUE,203
6/28/20,N18: EDGEWOOD,200
6/28/20,N17: EASTLAND GARDENS,200
6/28/20,N47: U ST/PLEASANT,192
6/28/20,N43: SW/WATERFRONT,189
6/28/20,N41: SOUTH COLUMBIA HEIGHTS,183
6/28/20,N16: DOUGLASS,182
6/28/20,N40: SHEPHERD PARK,173
6/28/20,Unknown,166
6/28/20,N2: ADAMS MORGAN,166
6/28/20,N6: BRENTWOOD,165
6/28/20,N48: UNION STATION,155
6/28/20,N44: TENLEYTOWN,137
6/28/20,N5: BLOOMINGDALE,136
6/28/20,N23: GEORGETOWN EAST,122
6/28/20,N28: KINGMAN PARK,118
6/28/20,N27: KENT/PALISADES,111
6/28/20,N51: WOODRIDGE,90
6/28/20,N25: HILL EAST,89
6/28/20,N49: WASHINGTON HIGHLANDS,85
6/28/20,N10: CATHEDRAL HEIGHTS,71
6/28/20,N9: CAPITOL HILL,63
6/28/20,N50: WOODLEY PARK,62
6/28/20,N19: FOREST HILLS,62
6/28/20,N24: GWU,59
6/28/20,N11: CHEVY CHASE,51
6/28/20,N3: BARNABY WOODS,39
6/28/20,N15: DC MEDICAL CENTER,22
6/28/20,N22: GEORGETOWN,21
6/28/20,N36: NAVAL STATION & AIR FORCE,4
6/28/20,N35: NATIONAL MALL,1
6/29/20,N13: COLUMBIA HEIGHTS,685
6/29/20,N1: 16th ST HEIGHTS,621
6/29/20,N7: BRIGHTWOOD,479
6/29/20,N12: CHINATOWN,364
6/29/20,N37: NAYLOR/HILLCREST,354
6/29/20,N38: PETWORTH,352
6/29/20,N8: BRIGHTWOOD PARK,342
6/29/20,N30: LINCOLN HEIGHTS,311
6/29/20,N45: TRINIDAD,308
6/29/20,N31: LOGAN CIRCLE/SHAW,305
6/29/20,N33: MICHIGAN PARK,304
6/29/20,N34: MOUNT PLEASANT,289
6/29/20,N32: MARSHALL HEIGHTS,265
6/29/20,N14: CONGRESS HEIGHTS/SHIPLEY,256
6/29/20,N21: FORT LINCOLN/GATEWAY,245
6/29/20,N20: FORT DUPONT,241
6/29/20,N29: LAMOND RIGGS,219
6/29/20,N46: TWINING,218
6/29/20,N39: SAINT ELIZABETHS,213
6/29/20,N42: STADIUM ARMORY,212
6/29/20,N26: HISTORIC ANACOSTIA,211
6/29/20,N4: BELLEVUE,202
6/29/20,N17: EASTLAND GARDENS,202
6/29/20,N18: EDGEWOOD,201
6/29/20,N47: U ST/PLEASANT,192
6/29/20,N43: SW/WATERFRONT,191
6/29/20,N41: SOUTH COLUMBIA HEIGHTS,183
6/29/20,N16: DOUGLASS,183
6/29/20,N40: SHEPHERD PARK,173
6/29/20,Unknown,166
6/29/20,N2: ADAMS MORGAN,166
6/29/20,N6: BRENTWOOD,165
6/29/20,N48: UNION STATION,156
6/29/20,N5: BLOOMINGDALE,138
6/29/20,N44: TENLEYTOWN,137
6/29/20,N23: GEORGETOWN EAST,123
6/29/20,N28: KINGMAN PARK,120
6/29/20,N27: KENT/PALISADES,112
6/29/20,N51: WOODRIDGE,90
6/29/20,N25: HILL EAST,89
6/29/20,N49: WASHINGTON HIGHLANDS,86
6/29/20,N10: CATHEDRAL HEIGHTS,71
6/29/20,N9: CAPITOL HILL,65
6/29/20,N50: WOODLEY PARK,62
6/29/20,N19: FOREST HILLS,62
6/29/20,N24: GWU,60
6/29/20,N11: CHEVY CHASE,51
6/29/20,N3: BARNABY WOODS,39
6/29/20,N15: DC MEDICAL CENTER,22
6/29/20,N22: GEORGETOWN,21
6/29/20,N36: NAVAL STATION & AIR FORCE,4
6/29/20,N35: NATIONAL MALL,1
6/30/20,N13: COLUMBIA HEIGHTS,686
6/30/20,N1: 16th ST HEIGHTS,622
6/30/20,N7: BRIGHTWOOD,480
6/30/20,N12: CHINATOWN,369
6/30/20,N37: NAYLOR/HILLCREST,358
6/30/20,N38: PETWORTH,352
6/30/20,N8: BRIGHTWOOD PARK,343
6/30/20,N30: LINCOLN HEIGHTS,313
6/30/20,N45: TRINIDAD,309
6/30/20,N31: LOGAN CIRCLE/SHAW,308
6/30/20,N33: MICHIGAN PARK,304
6/30/20,N34: MOUNT PLEASANT,290
6/30/20,N32: MARSHALL HEIGHTS,266
6/30/20,N14: CONGRESS HEIGHTS/SHIPLEY,257
6/30/20,N21: FORT LINCOLN/GATEWAY,245
6/30/20,N20: FORT DUPONT,241
6/30/20,N29: LAMOND RIGGS,220
6/30/20,N46: TWINING,218
6/30/20,N39: SAINT ELIZABETHS,213
6/30/20,N42: STADIUM ARMORY,212
6/30/20,N26: HISTORIC ANACOSTIA,212
6/30/20,N4: BELLEVUE,203
6/30/20,N17: EASTLAND GARDENS,203
6/30/20,N18: EDGEWOOD,200
6/30/20,N43: SW/WATERFRONT,193
6/30/20,N47: U ST/PLEASANT,192
6/30/20,N41: SOUTH COLUMBIA HEIGHTS,184
6/30/20,N16: DOUGLASS,183
6/30/20,N40: SHEPHERD PARK,173
6/30/20,N2: ADAMS MORGAN,168
6/30/20,Unknown,167
6/30/20,N6: BRENTWOOD,167
6/30/20,N48: UNION STATION,157
6/30/20,N5: BLOOMINGDALE,138
6/30/20,N44: TENLEYTOWN,137
6/30/20,N23: GEORGETOWN EAST,124
6/30/20,N28: KINGMAN PARK,120
6/30/20,N27: KENT/PALISADES,112
6/30/20,N51: WOODRIDGE,90
6/30/20,N25: HILL EAST,89
6/30/20,N49: WASHINGTON HIGHLANDS,87
6/30/20,N10: CATHEDRAL HEIGHTS,71
6/30/20,N9: CAPITOL HILL,67
6/30/20,N50: WOODLEY PARK,62
6/30/20,N19: FOREST HILLS,62
6/30/20,N24: GWU,60
6/30/20,N11: CHEVY CHASE,51
6/30/20,N3: BARNABY WOODS,39
6/30/20,N15: DC MEDICAL CENTER,22
6/30/20,N22: GEORGETOWN,21
6/30/20,N36: NAVAL STATION & AIR FORCE,4
6/30/20,N35: NATIONAL MALL,1
7/1/20,N13: COLUMBIA HEIGHTS,686
7/1/20,N1: 16th ST HEIGHTS,622
7/1/20,N7: BRIGHTWOOD,481
7/1/20,N12: CHINATOWN,369
7/1/20,N37: NAYLOR/HILLCREST,358
7/1/20,N38: PETWORTH,353
7/1/20,N8: BRIGHTWOOD PARK,343
7/1/20,N30: LINCOLN HEIGHTS,312
7/1/20,N31: LOGAN CIRCLE/SHAW,310
7/1/20,N45: TRINIDAD,309
7/1/20,N33: MICHIGAN PARK,304
7/1/20,N34: MOUNT PLEASANT,290
7/1/20,N32: MARSHALL HEIGHTS,267
7/1/20,N14: CONGRESS HEIGHTS/SHIPLEY,260
7/1/20,N21: FORT LINCOLN/GATEWAY,245
7/1/20,N20: FORT DUPONT,244
7/1/20,N29: LAMOND RIGGS,221
7/1/20,N46: TWINING,218
7/1/20,N39: SAINT ELIZABETHS,213
7/1/20,N26: HISTORIC ANACOSTIA,213
7/1/20,N42: STADIUM ARMORY,212
7/1/20,N17: EASTLAND GARDENS,204
7/1/20,N4: BELLEVUE,203
7/1/20,N18: EDGEWOOD,201
7/1/20,N43: SW/WATERFRONT,194
7/1/20,N47: U ST/PLEASANT,193
7/1/20,N41: SOUTH COLUMBIA HEIGHTS,186
7/1/20,N16: DOUGLASS,183
7/1/20,N40: SHEPHERD PARK,173
7/1/20,Unknown,168
7/1/20,N2: ADAMS MORGAN,168
7/1/20,N6: BRENTWOOD,167
7/1/20,N48: UNION STATION,159
7/1/20,N5: BLOOMINGDALE,138
7/1/20,N44: TENLEYTOWN,137
7/1/20,N23: GEORGETOWN EAST,128
7/1/20,N28: KINGMAN PARK,120
7/1/20,N27: KENT/PALISADES,112
7/1/20,N51: WOODRIDGE,90
7/1/20,N25: HILL EAST,90
7/1/20,N49: WASHINGTON HIGHLANDS,87
7/1/20,N10: CATHEDRAL HEIGHTS,71
7/1/20,N9: CAPITOL HILL,66
7/1/20,N50: WOODLEY PARK,62
7/1/20,N19: FOREST HILLS,62
7/1/20,N24: GWU,60
7/1/20,N11: CHEVY CHASE,51
7/1/20,N3: BARNABY WOODS,39
7/1/20,N15: DC MEDICAL CENTER,22
7/1/20,N22: GEORGETOWN,21
7/1/20,N36: NAVAL STATION & AIR FORCE,4
7/1/20,N35: NATIONAL MALL,1
7/2/20,N13: COLUMBIA HEIGHTS,691
7/2/20,N1: 16th ST HEIGHTS,625
7/2/20,N7: BRIGHTWOOD,482
7/2/20,N12: CHINATOWN,371
7/2/20,N37: NAYLOR/HILLCREST,360
7/2/20,N38: PETWORTH,354
7/2/20,N8: BRIGHTWOOD PARK,343
7/2/20,N31: LOGAN CIRCLE/SHAW,314
7/2/20,N30: LINCOLN HEIGHTS,313
7/2/20,N45: TRINIDAD,311
7/2/20,N33: MICHIGAN PARK,305
7/2/20,N34: MOUNT PLEASANT,290
7/2/20,N32: MARSHALL HEIGHTS,267
7/2/20,N14: CONGRESS HEIGHTS/SHIPLEY,261
7/2/20,N21: FORT LINCOLN/GATEWAY,245
7/2/20,N20: FORT DUPONT,244
7/2/20,N29: LAMOND RIGGS,223
7/2/20,N46: TWINING,220
7/2/20,N39: SAINT ELIZABETHS,214
7/2/20,N26: HISTORIC ANACOSTIA,213
7/2/20,N42: STADIUM ARMORY,212
7/2/20,N17: EASTLAND GARDENS,204
7/2/20,N4: BELLEVUE,203
7/2/20,N18: EDGEWOOD,201
7/2/20,N47: U ST/PLEASANT,195
7/2/20,N43: SW/WATERFRONT,194
7/2/20,N41: SOUTH COLUMBIA HEIGHTS,187
7/2/20,N16: DOUGLASS,184
7/2/20,N40: SHEPHERD PARK,175
7/2/20,Unknown,170
7/2/20,N6: BRENTWOOD,168
7/2/20,N2: ADAMS MORGAN,168
7/2/20,N48: UNION STATION,159
7/2/20,N5: BLOOMINGDALE,138
7/2/20,N44: TENLEYTOWN,137
7/2/20,N23: GEORGETOWN EAST,130
7/2/20,N28: KINGMAN PARK,120
7/2/20,N27: KENT/PALISADES,112
7/2/20,N25: HILL EAST,92
7/2/20,N51: WOODRIDGE,91
7/2/20,N49: WASHINGTON HIGHLANDS,87
7/2/20,N10: CATHEDRAL HEIGHTS,71
7/2/20,N9: CAPITOL HILL,66
7/2/20,N50: WOODLEY PARK,64
7/2/20,N19: FOREST HILLS,62
7/2/20,N24: GWU,60
7/2/20,N11: CHEVY CHASE,51
7/2/20,N3: BARNABY WOODS,40
7/2/20,N15: DC MEDICAL CENTER,22
