Date,Neighborhood,Total Positives
5/8/20,N49: WASHINGTON HIGHLANDS,44
5/8/20,N25: HILL EAST,44
5/8/20,N19: FOREST HILLS,36
5/8/20,N9: CAPITOL HILL,34
5/8/20,N11: CHEVY CHASE,32
5/8/20,N3: BARNABY WOODS,31
5/8/20,N15: DC MEDICAL CENTER,15
5/8/20,N22: GEORGETOWN,13
5/8/20,N36: NAVAL STATION & AIR FORCE,1
5/9/20,N13: COLUMBIA HEIGHTS,347
5/9/20,N1: 16th ST HEIGHTS,318
5/9/20,N7: BRIGHTWOOD,294
5/9/20,N12: CHINATOWN,259
5/9/20,N31: LOGAN CIRCLE/SHAW,213
5/9/20,N45: TRINIDAD,212
5/9/20,N37: NAYLOR/HILLCREST,208
5/9/20,N8: BRIGHTWOOD PARK,205
5/9/20,N30: LINCOLN HEIGHTS,183
5/9/20,N21: FORT LINCOLN/GATEWAY,180
5/9/20,N38: PETWORTH,180
5/9/20,N34: MOUNT PLEASANT,177
5/9/20,N42: STADIUM ARMORY,173
5/9/20,N33: MICHIGAN PARK,170
5/9/20,N39: SAINT ELIZABETHS,148
5/9/20,N20: FORT DUPONT,147
5/9/20,N32: MARSHALL HEIGHTS,146
5/9/20,N14: CONGRESS HEIGHTS/SHIPLEY,142
5/9/20,N29: LAMOND RIGGS,135
5/9/20,N46: TWINING,133
5/9/20,N26: HISTORIC ANACOSTIA,123
5/9/20,N18: EDGEWOOD,118
5/9/20,N17: EASTLAND GARDENS,118
5/9/20,N41: SOUTH COLUMBIA HEIGHTS,116
5/9/20,N44: TENLEYTOWN,114
5/9/20,N40: SHEPHERD PARK,113
5/9/20,N47: U ST/PLEASANT,112
5/9/20,N43: SW/WATERFRONT,111
5/9/20,N4: BELLEVUE,109
5/9/20,N6: BRENTWOOD,106
5/9/20,N2: ADAMS MORGAN,103
5/9/20,N16: DOUGLASS,102
5/9/20,N48: UNION STATION,93
5/9/20,N5: BLOOMINGDALE,89
5/9/20,N27: KENT/PALISADES,79
5/9/20,N28: KINGMAN PARK,75
5/9/20,Unknown,74
5/9/20,N23: GEORGETOWN EAST,65
5/9/20,N24: GWU,62
5/9/20,N51: WOODRIDGE,60
5/9/20,N10: CATHEDRAL HEIGHTS,55
5/9/20,N50: WOODLEY PARK,49
5/9/20,N49: WASHINGTON HIGHLANDS,46
5/9/20,N25: HILL EAST,45
5/9/20,N19: FOREST HILLS,37
5/9/20,N9: CAPITOL HILL,36
5/9/20,N11: CHEVY CHASE,33
5/9/20,N3: BARNABY WOODS,30
5/9/20,N15: DC MEDICAL CENTER,15
5/9/20,N22: GEORGETOWN,13
5/9/20,N36: NAVAL STATION & AIR FORCE,1
5/10/20,N13: COLUMBIA HEIGHTS,354
5/10/20,N1: 16th ST HEIGHTS,327
5/10/20,N7: BRIGHTWOOD,296
5/10/20,N12: CHINATOWN,261
5/10/20,N31: LOGAN CIRCLE/SHAW,217
5/10/20,N45: TRINIDAD,216
5/10/20,N37: NAYLOR/HILLCREST,213
5/10/20,N8: BRIGHTWOOD PARK,210
5/10/20,N38: PETWORTH,186
5/10/20,N30: LINCOLN HEIGHTS,186
5/10/20,N34: MOUNT PLEASANT,182
5/10/20,N42: STADIUM ARMORY,181
5/10/20,N21: FORT LINCOLN/GATEWAY,181
5/10/20,N33: MICHIGAN PARK,173
5/10/20,N39: SAINT ELIZABETHS,151
5/10/20,N32: MARSHALL HEIGHTS,149
5/10/20,N20: FORT DUPONT,147
5/10/20,N29: LAMOND RIGGS,146
5/10/20,N14: CONGRESS HEIGHTS/SHIPLEY,137
5/10/20,N46: TWINING,133
5/10/20,N40: SHEPHERD PARK,123
5/10/20,N26: HISTORIC ANACOSTIA,123
5/10/20,N17: EASTLAND GARDENS,119
5/10/20,N47: U ST/PLEASANT,118
5/10/20,N41: SOUTH COLUMBIA HEIGHTS,118
5/10/20,N18: EDGEWOOD,118
5/10/20,N44: TENLEYTOWN,114
5/10/20,N43: SW/WATERFRONT,112
5/10/20,N4: BELLEVUE,110
5/10/20,N16: DOUGLASS,109
5/10/20,N6: BRENTWOOD,104
5/10/20,N2: ADAMS MORGAN,103
5/10/20,N48: UNION STATION,94
5/10/20,N5: BLOOMINGDALE,89
5/10/20,Unknown,82
5/10/20,N28: KINGMAN PARK,77
5/10/20,N27: KENT/PALISADES,75
5/10/20,N23: GEORGETOWN EAST,67
5/10/20,N24: GWU,63
5/10/20,N51: WOODRIDGE,61
5/10/20,N10: CATHEDRAL HEIGHTS,56
5/10/20,N49: WASHINGTON HIGHLANDS,50
5/10/20,N25: HILL EAST,47
5/10/20,N50: WOODLEY PARK,45
5/10/20,N9: CAPITOL HILL,37
5/10/20,N19: FOREST HILLS,36
5/10/20,N11: CHEVY CHASE,34
5/10/20,N3: BARNABY WOODS,30
5/10/20,N15: DC MEDICAL CENTER,15
5/10/20,N22: GEORGETOWN,13
5/10/20,N36: NAVAL STATION & AIR FORCE,1
5/11/20,N13: COLUMBIA HEIGHTS,363
5/11/20,N1: 16th ST HEIGHTS,332
5/11/20,N7: BRIGHTWOOD,305
5/11/20,N12: CHINATOWN,264
5/11/20,N31: LOGAN CIRCLE/SHAW,223
5/11/20,N45: TRINIDAD,216
5/11/20,N37: NAYLOR/HILLCREST,215
5/11/20,N8: BRIGHTWOOD PARK,210
5/11/20,N30: LINCOLN HEIGHTS,192
5/11/20,N38: PETWORTH,191
5/11/20,N34: MOUNT PLEASANT,188
5/11/20,N21: FORT LINCOLN/GATEWAY,183
5/11/20,N42: STADIUM ARMORY,181
5/11/20,N33: MICHIGAN PARK,174
5/11/20,N39: SAINT ELIZABETHS,152
5/11/20,N32: MARSHALL HEIGHTS,152
5/11/20,N20: FORT DUPONT,149
5/11/20,N29: LAMOND RIGGS,147
5/11/20,N14: CONGRESS HEIGHTS/SHIPLEY,140
5/11/20,N46: TWINING,135
5/11/20,N40: SHEPHERD PARK,127
5/11/20,N26: HISTORIC ANACOSTIA,124
5/11/20,N41: SOUTH COLUMBIA HEIGHTS,122
5/11/20,N47: U ST/PLEASANT,120
5/11/20,N17: EASTLAND GARDENS,120
5/11/20,N18: EDGEWOOD,119
5/11/20,N44: TENLEYTOWN,114
5/11/20,N43: SW/WATERFRONT,113
5/11/20,N4: BELLEVUE,111
5/11/20,N16: DOUGLASS,110
5/11/20,N6: BRENTWOOD,107
5/11/20,N2: ADAMS MORGAN,104
5/11/20,N48: UNION STATION,97
5/11/20,N5: BLOOMINGDALE,89
5/11/20,Unknown,83
5/11/20,N28: KINGMAN PARK,78
5/11/20,N27: KENT/PALISADES,78
5/11/20,N23: GEORGETOWN EAST,68
5/11/20,N24: GWU,63
5/11/20,N51: WOODRIDGE,61
5/11/20,N10: CATHEDRAL HEIGHTS,56
5/11/20,N49: WASHINGTON HIGHLANDS,50
5/11/20,N25: HILL EAST,47
5/11/20,N50: WOODLEY PARK,45
5/11/20,N9: CAPITOL HILL,37
5/11/20,N19: FOREST HILLS,36
5/11/20,N11: CHEVY CHASE,34
5/11/20,N3: BARNABY WOODS,30
5/11/20,N15: DC MEDICAL CENTER,16
5/11/20,N22: GEORGETOWN,13
5/11/20,N36: NAVAL STATION & AIR FORCE,1
5/12/20,N13: COLUMBIA HEIGHTS,366
5/12/20,N1: 16th ST HEIGHTS,344
5/12/20,N7: BRIGHTWOOD,312
5/12/20,N12: CHINATOWN,263
5/12/20,N31: LOGAN CIRCLE/SHAW,226
5/12/20,N45: TRINIDAD,220
5/12/20,N37: NAYLOR/HILLCREST,220
5/12/20,N8: BRIGHTWOOD PARK,215
5/12/20,N38: PETWORTH,197
5/12/20,N30: LINCOLN HEIGHTS,196
5/12/20,N34: MOUNT PLEASANT,191
5/12/20,N21: FORT LINCOLN/GATEWAY,186
5/12/20,N42: STADIUM ARMORY,181
5/12/20,N33: MICHIGAN PARK,177
5/12/20,N32: MARSHALL HEIGHTS,158
5/12/20,N39: SAINT ELIZABETHS,152
5/12/20,N20: FORT DUPONT,150
5/12/20,N29: LAMOND RIGGS,148
