,YEAR,CENSUS TRACT,COUNTY NAME,POPULATION,POVERTY RATE,RENTER OCCUPIED HOUSEHOLDS,PCT RENTER OCCUPIED,MEDIAN GROSS RENT,MEDIAN HOUSEHOLD INCOME,MEDIAN PROPERTY VALUE,RENT BURDEN,PCT WHITE,PCT AF AM,PCT HISPANIC,PCT AM IND,PCT ASIAN,PCT NH PI,PCT MULTIPLE,PCT OTHER,LOW FLAG,IMPUTED,SYMBOL
25,2000.0,18.03,"WASHINGTON,DC",3066.0,11.71,1198.0,79.65,577.0,34565.0,215000.0,23.6,5.58,68.62,21.07,0.2,1.6,0.03,2.61,0.29,0.0,0.0,dc
26,2000.0,18.04,"WASHINGTON,DC",4156.0,17.2,1196.0,67.42,570.0,33520.0,177200.0,24.4,2.29,69.71,24.13,0.07,0.84,0.02,2.55,0.38,0.0,0.0,dc
27,2000.0,19.01,"WASHINGTON,DC",3949.0,11.5,299.0,19.79,692.0,47339.0,135500.0,22.5,2.03,89.82,6.15,0.23,0.23,0.03,1.52,0.0,0.0,0.0,dc
28,2000.0,19.02,"WASHINGTON,DC",2062.0,8.78,146.0,17.89,474.0,54934.0,156300.0,19.8,4.9,88.89,3.06,0.24,0.34,0.0,2.52,0.05,0.0,0.0,dc
29,2000.0,20.01,"WASHINGTON,DC",2435.0,17.38,686.0,66.73,569.0,32853.0,313800.0,24.8,14.7,60.99,20.37,0.12,1.36,0.08,1.89,0.49,0.0,0.0,dc
30,2000.0,20.02,"WASHINGTON,DC",3781.0,9.62,416.0,32.55,601.0,47619.0,167600.0,26.9,8.6,71.33,15.42,0.37,1.06,0.05,2.59,0.58,0.0,0.0,dc
31,2000.0,21.01,"WASHINGTON,DC",5233.0,19.55,1096.0,56.55,495.0,34375.0,119000.0,23.2,1.24,80.03,15.52,0.25,0.86,0.1,1.82,0.19,0.0,0.0,dc
32,2000.0,21.02,"WASHINGTON,DC",4631.0,9.06,851.0,42.55,529.0,36489.0,143600.0,25.5,1.6,88.84,7.45,0.3,0.39,0.04,1.3,0.09,0.0,0.0,dc
33,2000.0,22.01,"WASHINGTON,DC",3505.0,13.49,230.0,20.26,616.0,44388.0,123400.0,30.0,0.83,83.82,13.01,0.06,0.4,0.0,1.77,0.11,0.0,0.0,dc
34,2000.0,22.02,"WASHINGTON,DC",3013.0,15.27,671.0,53.3,559.0,37073.0,120000.0,21.4,0.96,88.85,6.97,0.63,0.27,0.0,2.12,0.2,0.0,0.0,dc
35,2000.0,23.01,"WASHINGTON,DC",2995.0,18.35,288.0,27.48,516.0,44069.0,127300.0,19.5,1.44,87.48,8.15,0.3,0.43,0.1,1.7,0.4,0.0,0.0,dc
36,2000.0,23.02,"WASHINGTON,DC",1345.0,23.86,401.0,70.72,1133.0,49519.0,123400.0,26.3,28.77,62.53,3.87,0.67,1.49,0.0,2.38,0.3,0.0,0.0,dc
37,2000.0,24.0,"WASHINGTON,DC",3580.0,15.09,460.0,36.74,523.0,37304.0,132300.0,31.0,2.88,81.96,12.63,0.08,0.39,0.03,1.79,0.25,0.0,0.0,dc
38,2000.0,25.01,"WASHINGTON,DC",2392.0,13.02,343.0,38.76,539.0,51510.0,174100.0,28.5,7.73,67.1,22.32,0.04,0.63,0.0,1.84,0.33,0.0,0.0,dc
39,2000.0,25.02,"WASHINGTON,DC",5486.0,19.17,1183.0,61.61,560.0,32688.0,145400.0,25.2,3.01,55.16,38.83,0.26,0.69,0.02,1.73,0.31,0.0,0.0,dc
40,2000.0,26.0,"WASHINGTON,DC",2184.0,8.48,273.0,28.32,750.0,85180.0,380300.0,22.5,30.4,61.31,3.43,0.23,1.83,0.0,2.11,0.69,0.0,0.0,dc
41,2000.0,27.01,"WASHINGTON,DC",5742.0,16.75,2065.0,77.92,586.0,35147.0,264300.0,25.3,30.42,29.08,28.35,0.26,6.98,0.03,4.35,0.51,0.0,0.0,dc
42,2000.0,27.02,"WASHINGTON,DC",6052.0,18.54,1728.0,67.69,639.0,45428.0,309900.0,25.1,37.31,18.92,34.32,0.38,6.46,0.02,2.31,0.28,0.0,0.0,dc
43,2000.0,28.01,"WASHINGTON,DC",3629.0,29.84,1149.0,82.07,520.0,25038.0,139800.0,25.8,5.43,49.99,38.96,0.41,2.2,0.08,2.56,0.36,0.0,0.0,dc
44,2000.0,28.02,"WASHINGTON,DC",4700.0,33.03,1587.0,91.31,512.0,22736.0,140800.0,25.4,7.74,31.66,51.02,0.32,7.17,0.0,1.77,0.32,0.0,0.0,dc
45,2000.0,29.0,"WASHINGTON,DC",4189.0,19.59,833.0,59.76,485.0,29602.0,142100.0,28.3,4.23,53.16,38.43,0.29,1.1,0.0,2.43,0.36,0.0,0.0,dc
46,2000.0,30.0,"WASHINGTON,DC",2829.0,37.75,794.0,76.42,504.0,25539.0,182500.0,29.5,7.53,66.21,23.44,0.18,0.95,0.0,1.48,0.21,0.0,0.0,dc
47,2000.0,31.0,"WASHINGTON,DC",2755.0,14.18,430.0,47.72,508.0,36175.0,112200.0,28.6,2.98,65.15,29.91,0.22,0.54,0.04,0.87,0.29,0.0,0.0,dc
48,2000.0,32.0,"WASHINGTON,DC",4480.0,25.74,690.0,44.4,462.0,31662.0,120100.0,27.4,1.54,80.98,14.96,0.56,0.2,0.0,1.65,0.11,0.0,0.0,dc
49,2000.0,33.01,"WASHINGTON,DC",2707.0,23.28,383.0,37.18,639.0,39107.0,148000.0,29.6,5.69,88.66,3.1,0.07,0.52,0.0,1.74,0.22,0.0,0.0,dc
50,2000.0,33.02,"WASHINGTON,DC",1830.0,15.1,262.0,40.75,615.0,45938.0,161800.0,26.3,3.44,90.93,2.84,0.11,1.2,0.0,1.37,0.11,0.0,0.0,dc
51,2000.0,34.0,"WASHINGTON,DC",4249.0,40.19,707.0,66.82,358.0,18452.0,122500.0,27.1,2.64,91.01,3.04,0.09,0.73,0.0,2.14,0.35,0.0,0.0,dc
52,2000.0,35.0,"WASHINGTON,DC",3498.0,35.9,601.0,72.06,426.0,18940.0,113200.0,28.7,2.4,82.76,10.61,0.23,0.91,0.0,2.94,0.14,0.0,0.0,dc
53,2000.0,36.0,"WASHINGTON,DC",3915.0,27.94,1328.0,82.84,492.0,22485.0,168100.0,27.1,8.79,60.95,23.6,0.38,3.14,0.0,2.91,0.23,0.0,0.0,dc
54,2000.0,37.0,"WASHINGTON,DC",4990.0,34.09,1631.0,91.02,502.0,26223.0,189100.0,23.7,8.58,54.69,32.65,0.26,1.86,0.0,1.56,0.4,0.0,0.0,dc
55,2000.0,38.0,"WASHINGTON,DC",4718.0,21.38,1909.0,78.08,694.0,37889.0,225000.0,25.1,35.01,31.09,27.7,0.42,3.01,0.04,2.5,0.21,0.0,0.0,dc
56,2000.0,39.0,"WASHINGTON,DC",4643.0,8.4,2118.0,74.21,741.0,42532.0,359300.0,23.4,53.89,18.61,18.87,0.41,5.21,0.09,2.65,0.28,0.0,0.0,dc
57,2000.0,40.01,"WASHINGTON,DC",3474.0,5.25,1318.0,56.18,845.0,59008.0,451800.0,22.7,79.99,4.92,8.32,0.17,4.35,0.06,1.81,0.37,0.0,0.0,dc
58,2000.0,40.02,"WASHINGTON,DC",2778.0,5.15,1140.0,64.77,823.0,54260.0,420600.0,22.7,66.27,11.41,11.41,0.25,7.74,0.0,2.59,0.32,0.0,0.0,dc
59,2000.0,41.0,"WASHINGTON,DC",2570.0,3.65,814.0,51.36,872.0,88170.0,1000001.0,20.4,81.05,3.7,6.81,0.08,6.3,0.16,1.63,0.27,0.0,0.0,dc
60,2000.0,42.01,"WASHINGTON,DC",3392.0,8.96,1411.0,65.32,842.0,53500.0,372100.0,24.9,69.81,13.71,8.76,0.24,4.13,0.06,2.92,0.38,0.0,0.0,dc
61,2000.0,42.02,"WASHINGTON,DC",2889.0,7.87,1386.0,72.64,748.0,47745.0,508000.0,23.7,70.09,7.17,9.42,0.14,9.45,0.07,3.22,0.45,0.0,0.0,dc
62,2000.0,43.0,"WASHINGTON,DC",3290.0,19.77,1321.0,75.27,656.0,39841.0,328900.0,25.6,33.65,38.48,22.25,0.33,2.04,0.21,2.77,0.27,0.0,0.0,dc
