Countyname,ST_Name,FatalityRa,Unemployme,EM_date,Confirmed,Deaths,Age_85,Age_80_84,Age_75_79,Age_70_74,Age_65_69,Beds_Licen,Beds_Staff,Beds_ICU,Ventilator,POP_ESTIMA,POVALL_201,AgedPop,TotalPop,NonHispWhP,BlackPop,AmIndop,AsianPop,PacIslPop,OtherPop,TwoMorPop,HispPop,Not_Hisp,Age_Less15,Age_15_24,Age_25_34,Age_Over75,NonHisp,Age_35_64,Age_65_74,EM_type_ ,EM_type_COV,EM_type_Govt Directed Social Distancing,EM_type_Govt Ordered Community Quarantine,EM_notes_ ,EM_notes_AL Governor issued a Shelter In Place order.,EM_notes_Cheif medical Officer and Governor declared for entire state of Nevada with Public health emrgency.,EM_notes_Chief health officer of the County declared. Heads up.  Utah State Emergency Operations Center is now at an Level 2 Activation for COVID-19.   The state is now in the process of repatriating 37 passengers from the Grand Princess cruise ship into the stat,EM_notes_County and 6 Municipalities Government directed Safer-At-Home  Orders,EM_notes_D.C. Mayor's office declared stay at home orders for the district,EM_notes_GA Governor issued Shelter In Place,EM_notes_Government statewide Public Schools shutdown,EM_notes_Governor Brown closed all schools,"EM_notes_Governor Brown closed all schools, these counties have confirmed cases of COVID",EM_notes_Governor Declared closing of all public Schools for social distancing and communbity spread .,EM_notes_Governor Issue Statewide Shelter In Place Order,EM_notes_Governor Issued Shelter In Place Order,EM_notes_Governor Issued Statewide Shelter In Place Order,EM_notes_Governor Issued a Statewide Shelter In Place Order,EM_notes_Governor Issued statewide Shelter In Place Order,EM_notes_Governor Ordered Statewide Shelter In Place Order,EM_notes_Governor issued a Statewide Shelter In Place Order,EM_notes_Governor issued a statewide Shelter In Place order.,EM_notes_Governor issued statewide shelter in place orders,EM_notes_Governor issued statewide stay at home orders,EM_notes_Governor issued stay at home executive order,EM_notes_Governor ordered statewide stay at home orders,"EM_notes_Local Disaster Declarations: Yakima Board of County Commissioners, with recommendation from the Yakima Health District and Yakima Valley Emergency Management, declared a local health emergency",EM_notes_PH declaration 03/13,"EM_notes_PH has indicated that while they have not declared, there is concern of potential spread and advise to modify service delivery",EM_notes_Recieved Thursday March 12,EM_notes_SEOC active with Red Cross presence.,EM_notes_Statewide Public Health Emergency and confirmed COVID19 case in this county,EM_notes_TN Governor issued a statewide Shelter In Place Order,EM_notes_TN Governor issued statewide Shelter In Place Order,EM_notes_TN Governor issued statewide Shelter In Place order,EM_notes_The Governor has declared stay at home orders for these counties effective 3/23,EM_notes_The Governor has declared stay at home orders for these counties effective 3/27,"EM_notes_The Governor has declared that all PA schools will be closed for at least 2 weeks beginning on 3/16, The Governor has declared stay at home orders for these counties effective 3/27",EM_notes_The Governor has declared that all PA schools will be closed for at least 2 weeks beginning on 3/16.  The Governor has issued a stay at home order for this county effective 3/28,EM_notes_The Governor has declared that all PA schools will be closed for at least 2 weeks beginning on 3/16.  The Governor has issued a stay at home order until 4/30/20 for this county,EM_notes_The Governor has declared that all PA schools will be closed for at least 2 weeks beginning on 3/16.  The Governor issued a stay at home order for all counties in PA until 4/30/20,EM_notes_The Governor has declared that all PA schools will be closed for at least 2 weeks beginning on 3/16. The Governor has declared a stay at home order for Erie as of 3/25,EM_notes_The Governor has declared that all PA schools will be closed for at least 2 weeks beginning on 3/16. The Governor has declared stay at home order for this county effective 3/23,EM_notes_The Governor has declared that all PA schools will be closed for at least 2 weeks beginning on 3/16. The Governor has declared stay at home orders for these counties effective 3/27,EM_notes_The Governor has declared that all PA schools will be closed for at least 2 weeks beginning on 3/16. The Governor has declared stay at home orders for this county effective 3/23,EM_notes_The Governor has declared that all PA schools will be closed for at least 2 weeks beginning on 3/16. The Governor has issued a stay at home order as of 3/25/20,EM_notes_The Governor has declared that all PA schools will be closed for at least 2 weeks beginning on 3/16. The Governor has issued a stay at home order for this county effective 3/28,EM_notes_The Governor has declared that all PA schools will be closed for at least 2 weeks beginning on 3/16. The Governor has issued a stay at home order until 4/30/20 for this county,EM_notes_The Governor has declared that all PA schools will be closed for at least 2 weeks beginning on 3/16. The Governor issued a stay at home order for all counties in PA until 4/30/20,EM_notes_The Governor has declared that all PA schools will be closed for at least 2 weeks beginning on 3/16.T he Governor issued a stay at home order on 3/30/20 until 4/30/20,EM_notes_The Governor has declared that all schools will be closed as of 3/16 for a period of 2 weeks. The Governor has ordered a stay at home order effective 0800 on 3/24/20,EM_notes_The Governor issued a stay at home order for all counties in PA until 4/30/20,EM_notes_The Governor issued a stay at home order on 3/30/20 until 4/30/20,EM_notes_The Governor issued a stay at home order on 3/30/20 until termination of state of emergency,"EM_notes_The attached guidance from the Maricopa Department of Health to health care workers and first responders states there is community spread in Maricopa County, Arizona. Here is an excerpt:",EM_notes_per B Kaiserman approval,EM_notes_per DDE Designee approval,EM_notes_per DDE designee approval,EM_notes_per dde designee,"EM_notes_the San Mateo Public Health Officer stated, ?I now have evidence of widespread community transmission of COVID-19 in San Mateo County.?  He also says, ?he only way to slow the spread of COVID-19 in the light of having community transmission is to have ev"
BARAGA,MICHIGAN,3.1712473572938698,6.1,3/23/2020 4:37:19 PM,473,15,155,190,389,457,579,15,15,3,1,8320,1126,1770,8507,6198,834,762,42,2,5,532,132,8375,1238,1020,1063,734,132,3416,1036,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BARRY,MICHIGAN,0.6360745115856429,3.4,3/23/2020 4:36:22 PM,2201,14,1345,1303,1644,2615,3747,25,25,6,2,61157,5100,10654,60057,56645,226,163,333,3,94,879,1714,58343,10995,7239,6489,4292,1714,24680,6362,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAY,MICHIGAN,2.02866593164278,4.8,3/23/2020 4:36:22 PM,4535,92,2539,2440,3793,4741,6544,387,322,37,10,103923,16044,20057,104786,94510,1675,318,631,0,16,2133,5503,99283,17610,12284,12624,8772,5503,42211,11285,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BENZIE,MICHIGAN,1.38248847926267,5.5,3/23/2020 4:36:22 PM,434,6,517,554,757,1116,1434,8,8,1,0,17753,1812,4378,17552,16466,67,263,78,0,0,243,435,17117,2656,1712,1674,1828,435,7132,2550,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BERRIEN,MICHIGAN,1.68473483738646,4.3,3/23/2020 4:36:22 PM,6826,115,4061,3728,4888,7007,9435,259,222,25,15,154141,23151,29119,154807,115938,22572,605,3032,38,223,4059,8340,146467,28203,19011,17925,12677,8340,60549,16442,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRANCH,MICHIGAN,1.39069969578444,3.7,3/23/2020 4:36:22 PM,2301,32,768,922,1499,2062,2458,71,87,10,3,43622,6034,7709,43584,39488,965,166,283,17,4,642,2019,41565,8427,5011,5180,3189,2019,17257,4520,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CALHOUN,MICHIGAN,2.0049710024855,4.2,3/23/2020 4:36:22 PM,6035,121,3079,2868,3872,5462,7512,281,262,37,11,134487,22602,22793,134473,104722,14087,867,3095,20,63,4734,6885,127588,25711,17689,16172,9819,6885,52108,12974,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CASS,MICHIGAN,1.2952210808396598,4.1,3/23/2020 4:36:22 PM,2239,29,898,1002,1902,2678,3722,25,25,4,2,51653,5727,10202,51460,44351,2533,555,434,21,71,1546,1949,49511,8772,6108,5194,3802,1949,21184,6400,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHARLEVOIX,MICHIGAN,1.3605442176870801,4.7,3/23/2020 4:36:22 PM,588,8,591,805,1061,1629,1934,25,25,4,2,26244,2756,6020,26219,24603,126,378,110,20,10,468,504,25715,4144,2852,2521,2457,504,10682,3563,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHEBOYGAN,MICHIGAN,4.02414486921529,9.2,3/23/2020 4:36:22 PM,497,20,0,0,0,0,0,0,0,0,0,25413,3359,0,25458,23470,215,423,98,0,0,901,351,25107,3442,2662,2287,2715,351,10431,3921,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHIPPEWA,MICHIGAN,0.72202166064982,6.6,3/23/2020 4:36:22 PM,831,6,877,758,1114,1666,2030,82,49,6,3,37517,5608,6445,37834,26418,2453,5336,361,60,15,2489,702,37132,5767,6115,4669,2749,702,14838,3696,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLARE,MICHIGAN,3.24254215304799,6.1,3/23/2020 4:36:22 PM,771,25,632,841,1392,1714,2462,49,49,9,2,30757,6253,7041,30616,29067,186,140,111,0,5,515,592,30024,4970,3273,3141,2865,592,12191,4176,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLINTON,MICHIGAN,0.824964131994261,3.2,3/23/2020 4:36:22 PM,2788,23,1434,1336,2285,3131,4304,66,66,2,2,79332,5896,12490,77896,70149,1349,95,1205,0,4,1588,3506,74390,14447,10270,8934,5055,3506,31755,7435,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRAWFORD,MICHIGAN,1.41643059490085,6.0,3/23/2020 4:36:22 PM,353,5,267,473,673,858,1132,71,49,6,2,13901,1862,3403,13836,13109,84,70,123,0,0,185,265,13571,2014,1423,1250,1413,265,5746,1990,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DELTA,MICHIGAN,2.36757624398074,5.3,3/23/2020 4:36:22 PM,2492,59,1046,1060,1526,1761,2816,25,25,9,2,35857,4380,8209,36190,33675,106,671,153,7,17,1100,461,35729,5933,3845,3621,3632,461,14582,4577,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DICKINSON,MICHIGAN,2.64367816091954,3.8,3/23/2020 4:37:19 PM,1740,46,724,669,1117,1255,1715,66,56,6,2,25383,2703,5480,25570,24349,157,306,157,0,21,199,381,25189,4146,2824,2667,2510,381,10453,2970,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EATON,MICHIGAN,1.3215859030836998,3.5,3/23/2020 4:36:22 PM,3178,42,2044,2266,3162,4679,6887,45,45,7,4,109826,9987,19038,109155,90678,7024,484,2526,43,138,2469,5793,103362,18901,14019,13582,7472,5793,43615,11566,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EMMET,MICHIGAN,2.87474332648871,5.9,3/23/2020 4:36:22 PM,974,28,807,732,1253,1722,2387,202,170,18,6,33308,2725,6901,33039,30148,208,958,170,30,52,941,532,32507,5261,3876,3646,2792,532,13355,4109,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GENESEE,MICHIGAN,2.79738734578083,4.9,3/23/2020 4:36:22 PM,15157,424,8010,8967,11856,15991,22950,1151,1051,125,43,406892,75251,67774,409361,296767,80370,1456,4226,41,459,12245,13797,395564,77068,53563,48347,28833,13797,162609,38941,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GLADWIN,MICHIGAN,1.43712574850299,5.6,3/23/2020 4:36:22 PM,835,12,551,822,1324,1768,2079,25,25,4,2,25337,3905,6544,25289,24275,85,145,125,0,15,247,397,24892,3938,2582,2267,2697,397,9958,3847,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOGEBIC,MICHIGAN,2.92249047013977,5.1,3/23/2020 4:37:19 PM,787,23,639,429,641,817,1262,25,25,5,2,15096,2404,3788,15414,13814,701,409,53,23,0,207,207,15207,1957,1673,1714,1709,207,6282,2079,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRAND TRAVERSE,MICHIGAN,1.0224948875255602,3.7,3/23/2020 4:36:22 PM,1956,20,2493,2011,2383,4044,5925,425,409,20,8,92573,8656,16856,91746,84929,960,939,530,37,107,1660,2584,89162,15496,10149,11901,6887,2584,37344,9969,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRATIOT,MICHIGAN,1.89486552567237,4.7,3/23/2020 4:36:22 PM,1636,31,1056,873,1208,1717,1999,67,49,9,2,40599,5679,6853,41067,35430,2203,103,156,23,6,692,2454,38613,6720,6228,5310,3137,2454,15956,3716,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HILLSDALE,MICHIGAN,2.3022432113341202,4.0,3/23/2020 4:36:22 PM,1694,39,938,1043,1557,2154,2817,65,44,4,2,45749,5958,8509,45830,43493,328,178,173,0,23,601,1034,44796,8215,6357,4812,3538,1034,17937,4971,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOUGHTON,MICHIGAN,0.8430609597924771,5.1,3/23/2020 4:37:19 PM,1542,13,878,694,1064,1697,1700,61,61,11,4,36219,6316,6033,36360,33425,250,104,1062,22,138,787,572,35788,6062,9082,3823,2636,572,11360,3397,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HURON,MICHIGAN,1.87265917602996,4.6,3/23/2020 4:36:22 PM,801,15,1121,1009,1355,1752,2431,98,73,11,3,31166,3876,7668,31543,30066,124,73,184,0,16,339,741,30802,4953,3404,2961,3485,741,12557,4183,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
